store_id,uptime_last_hour,downtime_last_hour,uptime_last_day,downtime_last_day,uptime_last_week,downtime_last_week
6472421132249756772,60.0,0.0,437.0,0.0,3192,0
7761606104561337031,30.0,0.0,30.0,0.0,504,0
838975604215828311,60.0,0.0,874.0,0.0,6384,0
3266261351669573692,26.0,0.0,26.0,0.0,336,0
2795813457317920490,0.0,0.0,0.0,0.0,0,0
4605930245483207319,60.0,0.0,437.0,0.0,3192,0
2962311335535390960,27.0,0.0,27.0,0.0,72,0
7268756666846583478,26.0,0.0,26.0,0.0,336,0
1630572092685790853,36.0,0.0,36.0,0.0,504,0
8937336970477990571,30.0,0.0,30.0,0.0,504,0
5573042382995353167,0.0,0.0,0.0,0.0,0,0
2919034318358144116,60.0,0.0,105.0,0.0,1176,0
1069175913867471706,12.0,0.0,12.0,0.0,168,0
875843728245815497,60.0,0.0,437.0,0.0,3192,0
674181715362434303,60.0,0.0,460.0,0.0,3360,0
6919205629015311844,60.0,0.0,437.0,0.0,3192,0
5833524886918537002,60.0,0.0,897.0,0.0,6552,0
895776572353408414,60.0,0.0,437.0,0.0,3192,0
3128372722755492220,60.0,0.0,874.0,0.0,6384,0
7623827925406279462,46.0,0.0,46.0,391.0,336,2856
7380452304013001940,60.0,0.0,437.0,0.0,3192,0
4735020268815610999,60.0,0.0,437.0,0.0,3192,0
4379354991255025015,60.0,0.0,112.0,0.0,1176,0
586828640680309708,60.0,0.0,136.0,0.0,1344,0
4411708924362315807,26.0,0.0,26.0,0.0,288,0
3602624699088147408,60.0,0.0,102.0,0.0,1008,0
808823578625004293,60.0,0.0,460.0,0.0,3360,0
4537118630493879732,0.0,0.0,0.0,0.0,0,0
6768421287930768369,33.0,0.0,33.0,0.0,432,0
5204205417198497707,60.0,0.0,105.0,0.0,1176,0
6218610446218045507,0.0,0.0,0.0,0.0,0,0
4038122761946492291,36.0,0.0,36.0,0.0,672,0
4521472232575735964,44.0,0.0,44.0,0.0,672,0
6164497053337196872,26.0,0.0,26.0,0.0,336,0
2746426715779371861,60.0,0.0,77.0,0.0,1176,0
3592833730880444385,60.0,0.0,120.0,0.0,1344,0
6084129894248182147,60.0,0.0,437.0,0.0,3192,0
2968757472314064027,50.0,0.0,50.0,0.0,840,0
6864988578947949086,60.0,0.0,136.0,0.0,1344,0
2341975151855811674,30.0,0.0,30.0,0.0,504,0
1545419770545519833,9.0,0.0,9.0,0.0,168,0
3984770485507574882,0.0,0.0,0.0,0.0,0,0
6608528256001332810,18.0,0.0,18.0,0.0,288,0
2973766607541934236,48.0,0.0,48.0,0.0,672,0
4079089274955837207,20.0,0.0,20.0,0.0,336,0
4398082883008351949,9.0,0.0,9.0,0.0,168,0
8191797924941731759,18.0,0.0,18.0,0.0,336,0
2662551240879654986,60.0,0.0,437.0,0.0,3192,0
6891979499390404721,60.0,0.0,437.0,0.0,3192,0
6740922013757682995,60.0,0.0,128.0,0.0,1344,0
7995554789749200173,36.0,0.0,36.0,0.0,504,0
7220973262594195425,36.0,0.0,36.0,0.0,504,0
2547992708873404100,0.0,0.0,0.0,0.0,0,0
4783594666522589213,60.0,0.0,91.0,0.0,1176,0
3427928602063028232,60.0,0.0,80.0,0.0,840,0
3871342332526523326,60.0,0.0,128.0,0.0,1344,0
4015395599881112256,60.0,0.0,136.0,0.0,1344,0
1404363152012971654,60.0,0.0,437.0,0.0,3192,0
2097768219460516447,60.0,0.0,437.0,0.0,3192,0
504331488096931942,0.0,0.0,0.0,0.0,0,0
774816811015287446,0.0,0.0,0.0,0.0,0,0
7223258670951219118,39.0,0.0,39.0,0.0,504,0
4467068553511405146,60.0,0.0,437.0,0.0,3192,0
2107578749059541867,60.0,0.0,77.0,0.0,1176,0
5542499542228920905,60.0,0.0,437.0,0.0,3192,0
5036997234964374401,45.0,0.0,45.0,0.0,840,0
7184588537939096369,27.0,0.0,27.0,0.0,504,0
3261499711683468740,16.0,0.0,16.0,0.0,336,0
4336560822635846731,56.0,0.0,56.0,0.0,672,0
5750671646927722816,60.0,0.0,897.0,0.0,6552,0
5219832925489842912,60.0,0.0,437.0,0.0,3192,0
6034454880939136883,60.0,0.0,437.0,0.0,3192,0
1209276477146037485,36.0,0.0,36.0,0.0,504,0
8915497710891717822,60.0,0.0,96.0,0.0,1008,0
8335674997994907960,26.0,0.0,26.0,0.0,336,0
8911368470440272064,45.0,0.0,84.0,0.0,1008,0
8315395491061125019,33.0,0.0,33.0,0.0,504,0
1670544066363019946,44.0,0.0,44.0,0.0,576,0
3211772869478790020,60.0,0.0,437.0,0.0,3192,0
3851218396063293521,60.0,0.0,104.0,0.0,1344,0
377793925363054037,11.0,0.0,11.0,0.0,168,0
1166676227748031010,11.0,0.0,11.0,0.0,168,0
3794745111072104224,60.0,0.0,482.99999999999994,0.0,3528,0
2454029148522845822,16.0,0.0,16.0,0.0,288,0
2123709446545200911,60.0,0.0,874.0,0.0,6384,0
572367105408911827,60.0,0.0,126.0,0.0,1512,0
4418964457147479291,45.0,0.0,112.0,0.0,1176,0
2997579043198108695,60.0,0.0,112.0,0.0,1176,0
438626569442631056,60.0,0.0,112.0,0.0,1176,0
1300195604760986700,21.0,0.0,21.0,0.0,360,0
22284400831843180,0.0,0.0,0.0,0.0,0,0
4169529855775714048,52.0,0.0,52.0,0.0,672,0
2422785024605135486,60.0,0.0,153.0,0.0,1512,0
7293080882699237692,0.0,0.0,0.0,0.0,0,0
3283492708296652331,0.0,0.0,0.0,0.0,0,0
9204962793113048005,60.0,0.0,96.0,0.0,1344,0
8190956604937856935,60.0,0.0,874.0,0.0,6384,0
12572597046904092,0.0,0.0,0.0,0.0,0,0
2720338911902135987,36.0,0.0,36.0,0.0,432,0
1964438083180033038,0.0,0.0,0.0,0.0,0,0
6037899105612538467,0.0,0.0,0.0,0.0,0,0
734323051093970964,60.0,0.0,98.0,0.0,1176,0
3919389831997155147,45.0,0.0,437.0,0.0,3192,0
5658462824509404128,30.0,30.0,46.0,391.0,336,2856
8177720468539840951,60.0,0.0,437.0,0.0,3192,0
5159224775776161342,60.0,0.0,460.0,0.0,3360,0
6908316526509204317,60.0,0.0,874.0,0.0,6384,0
3365112782906864805,60.0,0.0,460.0,0.0,3360,0
869150141145156759,60.0,0.0,414.0,23.0,3024,168
305363387441199517,60.0,0.0,460.0,0.0,3360,0
997236235537428986,60.0,0.0,437.0,0.0,3192,0
5871853780593130581,60.0,0.0,437.0,0.0,3192,0
7135524174341196737,60.0,0.0,437.0,0.0,3192,0
1394442644196079980,60.0,0.0,897.0,0.0,6552,0
3747425348180577836,60.0,0.0,437.0,0.0,3192,0
520015528942543172,60.0,0.0,437.0,0.0,3192,0
2318974247451405361,60.0,0.0,437.0,0.0,3192,0
7435565125869901349,60.0,0.0,437.0,0.0,3192,0
7312749566689098421,60.0,0.0,112.0,0.0,1344,0
2225219938220197351,33.0,0.0,33.0,0.0,504,0
4476869609123006590,26.0,0.0,26.0,0.0,336,0
4213908551193210953,60.0,0.0,437.0,0.0,3192,0
1587477617198682096,50.0,0.0,50.0,0.0,840,0
6642226438879069200,0.0,0.0,0.0,0.0,0,0
4395651411285274624,60.0,0.0,238.0,0.0,2856,0
8705773233781333649,60.0,0.0,78.0,0.0,864,0
6957083785738308678,24.0,0.0,24.0,0.0,360,0
3442819202743257753,10.0,0.0,10.0,0.0,168,0
8452777618327034567,20.0,0.0,20.0,0.0,336,0
8235697395119495581,60.0,0.0,80.0,0.0,840,0
3727388910970924909,33.0,0.0,33.0,0.0,504,0
9120820641756682904,9.0,0.0,9.0,0.0,168,0
763392497407400668,26.0,0.0,26.0,0.0,288,0
5101602669688294040,30.0,0.0,30.0,0.0,504,0
7086435603849754290,39.0,0.0,39.0,0.0,504,0
8259284697786574445,26.0,0.0,26.0,0.0,336,0
455892546794002902,30.0,0.0,30.0,0.0,432,0
5417817040098224708,30.0,0.0,30.0,0.0,504,0
5148120740979132855,60.0,0.0,91.0,0.0,1176,0
4690649169739490101,60.0,0.0,112.0,0.0,1176,0
2888096798405660999,60.0,0.0,437.0,0.0,3192,0
8696038038286752423,60.0,0.0,897.0,0.0,6552,0
3470900862425905960,60.0,0.0,897.0,0.0,6552,0
1635446939766206435,60.0,0.0,460.0,0.0,3360,0
8267923592375072933,60.0,0.0,437.0,0.0,3192,0
5377438829284291498,60.0,0.0,874.0,0.0,6384,0
3552741199582169178,60.0,0.0,184.0,252.99999999999997,1344,1848
47157457861946118,60.0,0.0,437.0,0.0,3192,0
7538095597952574524,60.0,0.0,828.0,46.0,6048,336
5946972083867051183,60.0,0.0,874.0,0.0,6384,0
832805588784302237,60.0,0.0,437.0,0.0,3192,0
8262021469770954476,60.0,0.0,128.0,0.0,1344,0
8766210349431611465,60.0,0.0,60.0,0.0,672,0
5524798464292066453,30.0,0.0,30.0,0.0,504,0
4772969502332673731,60.0,0.0,60.0,0.0,672,0
789887362181120709,30.0,0.0,30.0,0.0,504,0
9180605269446109669,33.0,0.0,33.0,0.0,504,0
529576847534058093,60.0,0.0,460.0,0.0,3360,0
5616679962071175485,60.0,0.0,437.0,0.0,3192,0
5332157939881542521,45.0,0.0,437.0,0.0,3192,0
9057426267913393193,60.0,0.0,874.0,0.0,6384,0
6654163885034420297,60.0,0.0,897.0,0.0,6552,0
1744483568407217219,60.0,0.0,460.0,0.0,3360,0
267404321924500393,60.0,0.0,874.0,0.0,6384,0
1784034335481747558,60.0,0.0,874.0,0.0,6384,0
3648537204824103115,60.0,0.0,437.0,0.0,3192,0
570004961483694663,60.0,0.0,437.0,0.0,3192,0
